area,item,status,evidence,issue,required_action,owner_org,dependency,done_definition,notes
Editorial,title_enfoque_consistency,PASS,website/src/content/articles/techno-detroit-historia-musica-electronica.md,Titulo y tesis alineados a P2,None,Editorial,NINGUNA,Se mantiene enfoque Detroit matriz Berlin nodo,Sin cambios de publicacion
Editorial,claim_detroit_no_celebro,REQUIRES_ACTION,04_Produccion/Detroit/DETROIT_SOURCE_PACK_20260425.md,Claim sin fuente exacta local,Agregar referencia exacta o reformular como interpretacion editorial,Editorial,revision_humana,Claim queda con fuente trazable o lenguaje interpretativo,NO VERIFICADO EN FUENTE LOCAL para URL exacta
Editorial,claim_tensiones_persisten,REQUIRES_ACTION,04_Produccion/Detroit/DETROIT_SOURCE_PACK_20260425.md,Claim amplio sin ejemplo verificable local,Agregar ejemplo verificable o reformular,Editorial,revision_humana,Claim queda delimitado con evidencia o reformulado,Evitar afirmacion absoluta
Editorial,claim_edm_borro_raices,REQUIRES_ACTION,04_Produccion/Detroit/DETROIT_QA_REPORT_20260425.md,Claim interpretativo presentado como hecho,Reescribir como posicion editorial explicita,Editorial,revision_humana,Texto expresa interpretacion y no hecho duro,Sin inventar fuentes
Editorial,arte_documentary_reference,BLOCKED,04_Produccion/Detroit/DETROIT_SOURCE_PACK_20260425.md,Titulo exacto no identificado localmente,Marcar como NO VERIFICADO EN FUENTE LOCAL o completar referencia exacta local,Editorial,revision_humana,Referencia Arte queda identificada o explicitamente no verificada,No usar fuentes externas en D05
Website / Astro,frontmatter_assets_resolution,BLOCKED,website/src/content/articles/techno-detroit-historia-musica-electronica.md + website/public/images/articles/README.md,Rutas de image/card/og/inline no localizadas en carpeta esperada,Alinear frontmatter con archivos existentes reales o materializar assets faltantes desde fuente local,Website / Astro,website,Todas rutas del articulo resuelven a archivos existentes,NO VERIFICADO EN FUENTE LOCAL para archivos ausentes
Website / Astro,inline_figures_assets,BLOCKED,website/src/content/articles/techno-detroit-historia-musica-electronica.md + website/public/images/articles/README.md,Imagenes inline declaradas no verificables localmente,Inventario real de archivos y correccion de referencias inline,Website / Astro,website,No quedan referencias a archivos inexistentes,Sin deploy
Diseno / visuales / ComfyUI,visual_brief_alignment,PASS,04_Produccion/dossiers/bass-borders-detroit-berghain/SERENA_VISUAL_EXTRACTION.md + COMFYUI_DOSSIER_PROMPT.md,No contradiccion con enfoque editorial Detroit/Berghain,Mantener como base documental D06,Diseno / visuales / ComfyUI,ComfyUI,Curaduria final aprobada por revision humana,No ejecutar ComfyUI en D05
Diseno / visuales / ComfyUI,final_asset_canonicity,REQUIRES_ACTION,04_Produccion/Detroit/visual_curation/DETROIT_D06_CLOSURE_20260425.md + DETROIT_D07_FINAL_ASSET_SELECTION_20260425.md,Canonicidad final depende de revision humana,Confirmar set canonico y mapearlo a rutas consumidas por website,Diseno / visuales / ComfyUI,ComfyUI|revision_humana,Existe lista canonica final con rutas vigentes,Separar visuales de plataformas
Operaciones / QA,detroit_tracker_presence,BLOCKED,04_Produccion/PIECE_STATUS_MATRIX.md + 04_Produccion/pipeline_tracker.json + 04_Produccion/swarm_mvp_tracker.json,Detroit no aparece como pieza en trackers base,Definir trazabilidad Detroit en tracker local o estado fuera de tracker documentado,Operaciones / QA,revision_humana|Notion,Detroit queda con estado operativo trazable sin ambiguedad,NO VERIFICADO EN FUENTE LOCAL sobre estado tracker Detroit
Operaciones / QA,d05_closure_status,PASS_WITH_BLOCKERS,07_Operaciones/BACKLOG_EDITORIAL_10_DIAS_20260427.md + 07_Operaciones/BACKLOG_EDITORIAL_10_DIAS_20260427.csv,QA editorial cierra diagnostico pero mantiene bloqueos controlados,Cerrar D05 con lista de acciones previas a D06,Operaciones / QA,revision_humana,Checklist D05 cerrado y bloqueos priorizados,Sin publicar ni tocar APIs
