referenced_path,exists_in_website,existing_equivalent_path,recommended_final_name,asset_type,status,issue,required_future_action,risk_level,evidence,notes
/images/articles/techno-detroit-hero.png,NO,D:\FrecuenciaGlobal\ComfyUI\output\FG_DETROIT_HERO_WEB_v1_s137_00001_.png,FG_DETROIT_P2_IMG_HERO_WEB_v01_20260502_CANONICAL.png,hero_png,MISSING_PUBLIC,Candidato hero en D: sin promoción a website/public,Ratificar seed y copiar/registrar como archivo final con nombre coincide-referencia o actualizar markdown en D10,CRITICO,Test-Path False website/public; cmd dir incluye FG_DETROIT_HERO_WEB_v1_*.png,Uso frontmatter image; elegir variantes s42/s999 como alternativa documentada en D10
/images/articles/techno-detroit-hero.webp,NO,NO VERIFICADO EN FUENTE LOCAL (sin .webp Detroit en spot-check D:\FrecuenciaGlobal\ComfyUI\output),FG_DETROIT_P2_IMG_HERO_WEB_v01_20260502_CANONICAL.webp,hero_webp,MISSING_PUBLIC,NO hay WEBP homónimo local en fuentes priorizadas,Derivar desde PNG canon en D10 o cambiar referencia a PNG-only,ALTO,Test-Path False website/public; dir *.webp Detroit sin evidencia superficial,
/images/articles/bass-borders-detroit-card.webp,NO,D:\FrecuenciaGlobal\ComfyUI\output\FG_BB_DETROIT_CARD_v2_s2026_00001_.png,FG_DETROIT_P2_IMG_CARD_SOCIAL_v01_20260502_CANONICAL.webp,card_webp,MISSING_PUBLIC,Candidato PNG en D: (WEBP pendiente),Export WEBP desde PNG curado o sustituir referencia por PNG en D10,ALTO,Test-Path False website/public; dir lista FG_BB_DETROIT_CARD_v2_*.png,Referencia markdown pide WEBP; conversión es operación D10
/images/articles/techno-detroit-og.png,NO,D:\FrecuenciaGlobal\ComfyUI\output\FG_DETROIT_FEATURED_v1_s909_00001_.png,FG_DETROIT_P2_IMG_OG_v01_20260502_CANONICAL.png,og_png,MISSING_PUBLIC,Candidato OG no validado como crop OG 1200x630,Confirmar asset OG dedicado vs featured y export correcto en D10,ALTO,Test-Path False website/public; dir lista FG_DETROIT_FEATURED_v1_*.png,Si OG debe ser distinto del featured elegir arte dedicado antes de copiar
/images/articles/techno-detroit-billboard-manga-v1-rebuilt.webp,NO,NO VERIFICADO EN FUENTE LOCAL (sin *billboard* ni *rebuilt* en dir superficial D:\FrecuenciaGlobal\ComfyUI\output),FG_DETROIT_P2_IMG_BILLBOARD_MANGA_v01_20260502_REVIEW.webp,billboard_webp,MISSING_PUBLIC_AND_STAGING,Globo ilustración lead no ubicado por nombre en staging,Localizar fuente fuera de lista corta o re-render en fase posterior; hasta entonces inline roto,CRITICO,Test-Path False website/public; cmd dir *billboard* y *rebuilt* vacíos,Puede residir fuera del directorio spot-check; marca NO VERIFICADO sin búsqueda exhaustiva
/images/articles/techno-detroit-billboard-manga-v1-rebuilt.png,NO,NO VERIFICADO EN FUENTE LOCAL (sin *billboard* ni *rebuilt* en dir superficial D:\FrecuenciaGlobal\ComfyUI\output),FG_DETROIT_P2_IMG_BILLBOARD_MANGA_v01_20260502_REVIEW.png,billboard_png,MISSING_PUBLIC_AND_STAGING,Pareja PNG del billboard sin candidato nombre,Misma acción que WEBP billboard,CRITICO,Test-Path False website/public; sin match nombre,
/images/articles/techno-detroit-manga-02-master-v2.webp,NO,NO VERIFICADO EN FUENTE LOCAL (.webp no listado),FG_DETROIT_P2_IMG_INLINE_MANGA02_v01_20260502_CANONICAL.webp,manga02_webp,MISSING_PUBLIC,WEBP derivación pendiente,Derivar desde PNG curado en D10,MEDIO,Test-Path False website/public,
/images/articles/techno-detroit-manga-02-master-v2.png,NO,D:\FrecuenciaGlobal\ComfyUI\output\techno-detroit-manga-02_00001_.png,FG_DETROIT_P2_IMG_INLINE_MANGA02_v01_20260502_CANONICAL.png,manga02_png,CANDIDATE_STAGED,Nombre staging difiere del sufijo master-v2,Copiar con nombre que consuma el markdown o actualizar rutas en D10,MEDIO,Test-Path False website/public; dir incluye techno-detroit-manga-02_00001_.png,Candidato alterno _00002_.png
/images/articles/techno-detroit-manga-03.webp,NO,NO VERIFICADO EN FUENTE LOCAL (.webp no listado),FG_DETROIT_P2_IMG_INLINE_MANGA03_v01_20260502_CANONICAL.webp,manga03_webp,MISSING_PUBLIC,WEBP derivación pendiente,Derivar desde PNG curado en D10,MEDIO,Test-Path False website/public,
/images/articles/techno-detroit-manga-03.png,NO,D:\FrecuenciaGlobal\ComfyUI\output\techno-detroit-manga-03_00001_.png,FG_DETROIT_P2_IMG_INLINE_MANGA03_v01_20260502_CANONICAL.png,manga03_png,CANDIDATE_STAGED,Nombre cercano pero no idéntico al referenciado,Copiar o renombrar en D10 con política única,MEDIO,Test-Path False website/public; dir incluye techno-detroit-manga-03_00001_.png,
/images/articles/techno-detroit-featured-card.png,YES,D:\FrecuenciaGlobal\ComfyUI\output\techno-detroit-featured-card_00001_.png,FG_DETROIT_P2_IMG_CARD_FEATURED_HOME_v01_20260502_CANONICAL.png,homepage_featured_png,PRESENT_LINEAGE_UNCONFIRMED,Bitmap existe en public; linaje contra D: sin hash,Opcional unificar naming documental vs index.astro en D10,BAJO,Test-Path True website/public; dir lista techno-detroit-featured-card_00001_.png,Consumidor website/src/pages/index.astro
/images/dossiers/bass-borders-detroit-berghain-dossier.png,YES,D:\FrecuenciaGlobal\ComfyUI\output\FG_DOSSIER_BASS_BORDERS_00004_.png,FG_DETROIT_P2_IMG_DOSSIER_MASTER_v01_20260502_CANONICAL.png,dossier_png,PRESENT_ALTERNATES_IN_STAGING,Archivo public existe; variantes en D: sin comparación binaria,No sustituir public hasta revisión visual vs FG_DOSSIER_BASS_BORDERS_* en D10,BAJO,Test-Path True website/public; dir FG_DOSSIER_BASS_BORDERS_00001_.png … 00004_.png,Consumidor website/src/pages/pilares/[slug].astro
